source_index,x,y,z,before_class,after_class,before_instance,after_instance,fusion_score,after_step05_type
1238292,6.05787239600585,-2.347501215610753,0.026936430024700322,4,3,0,87,0.5,0
1238293,6.057664673428626,-2.344966498950409,0.02668391662160293,4,3,0,87,0.5,0
1238585,6.0593489540879935,-2.354215071583208,0.02341948563743393,4,3,0,87,0.5,0
1238586,6.058383722721955,-2.3533471960689667,0.02511356786248061,4,3,0,87,0.6499999761581421,0
1238587,6.057283116591913,-2.3486987387011533,0.026584797567141945,4,3,0,87,0.6499999761581421,0
1238588,6.057238344017613,-2.3465964337063183,0.02654190381585351,4,3,0,87,0.5,0
1238589,6.057569748570837,-2.344177551751806,0.026566460528356595,4,3,0,87,0.5,0
1238890,6.058224068680527,-2.3535956638229685,0.024725075103811354,4,3,0,87,0.6499999761581421,0
1238891,6.057224531313844,-2.351348222800646,0.026090567292383904,4,3,0,87,0.6499999761581421,0
1238892,6.057089889244998,-2.3497514979925915,0.026395681057098178,4,3,0,87,0.6499999761581421,0
1238893,6.05697692935259,-2.347756650521558,0.026436568238073013,4,3,0,87,0.5,0
1239196,6.057069896467586,-2.3519197141859323,0.02579420002496524,4,3,0,87,0.6499999761581421,0
1239197,6.057121278465558,-2.3509132390859055,0.026182989066920473,4,3,0,87,0.6499999761581421,0
1239505,6.058116127983288,-2.35413468563699,0.023664693237851316,4,3,0,87,0.5,0
1239506,6.057195425348735,-2.353251785419859,0.024963168492434046,4,3,0,87,0.6499999761581421,0
1239507,6.0569751944517956,-2.352721854414783,0.02534343833249232,4,3,0,87,0.6499999761581421,0
1239508,6.05651579342147,-2.3498787919870416,0.02607743517821036,4,3,0,87,0.6499999761581421,0
1239509,6.056413556779366,-2.348739872446721,0.02611732916697089,4,3,0,87,0.6499999761581421,0
1239510,6.056278278852461,-2.3481544082101617,0.026070559025674976,4,3,0,87,0.6499999761581421,0
1239815,6.057195575854587,-2.3537710319701146,0.02424647984711442,4,3,0,87,0.6499999761581421,0
1239816,6.056737999561883,-2.3511027732260446,0.025960100141933284,4,3,0,87,0.6499999761581421,0
1239817,6.056508238961051,-2.3505813799010467,0.025979515958751684,4,3,0,87,0.6499999761581421,0
1239818,6.05626323176736,-2.349955105181938,0.025932773500121756,4,3,0,87,0.6499999761581421,0
1240116,6.057827866107653,-2.354292973436752,0.02328844718559947,4,3,0,87,0.5,0
1240117,6.057141165072175,-2.353985721232328,0.023833947770511656,4,3,0,87,0.5,0
1240118,6.056544250694689,-2.3533623499863867,0.024649799225823325,4,3,0,87,0.6499999761581421,0
1240119,6.0564805225499745,-2.3525345024133633,0.025277813028582632,4,3,0,87,0.6499999761581421,0
1240120,6.056488067676697,-2.3518633358460814,0.02560151285939468,4,3,0,87,0.6499999761581421,0
1240121,6.056367612826183,-2.350873878526403,0.025851486516447357,4,3,0,87,0.6499999761581421,0
1240426,6.0575261438752825,-2.354392562022343,0.023028112422984783,4,3,0,87,0.5,0
1240427,6.056647272533993,-2.3539459966052183,0.02382773804388464,4,3,0,87,0.5,0
1241339,6.056853025701304,-2.354388738632396,0.022921170579659166,4,3,0,87,0.5,0
1254672,6.041273638735287,-2.3459151525883026,0.029318912302489973,4,3,0,87,0.5,0
1255313,6.04144295548578,-2.3470558444079197,0.029135980315887336,4,3,0,87,0.5,0
1255644,6.041290437055151,-2.3477169571779664,0.029119335040954805,4,3,0,87,0.5,0
1255958,6.042214073970469,-2.3455513157541636,0.028786186728277194,4,3,0,87,0.5,0
1255959,6.041891170081124,-2.346063955588148,0.028978534584289575,4,3,0,87,0.5,0
1255960,6.041814339760269,-2.3463818133585215,0.029008133684191764,4,3,0,87,0.5,0
1256286,6.042185418356206,-2.346788211192059,0.02877535425896427,4,3,0,87,0.5,0
1256287,6.041369352290411,-2.348708961610739,0.028936675447118178,4,3,0,87,0.6499999761581421,0
1256288,6.041149634746766,-2.349779635476705,0.02871506928844983,4,3,0,87,0.6499999761581421,0
1256934,6.042904303143137,-2.3457289458356683,0.028366323412445688,4,3,0,87,0.5,0
1256935,6.042253044485825,-2.347745488199667,0.02861836136794261,4,3,0,87,0.5,0
1257264,6.042376778963867,-2.348838936013273,0.028350128090224205,4,3,0,87,0.6499999761581421,0
1257265,6.042161604596882,-2.3495949579893725,0.0282666481376739,4,3,0,87,0.6499999761581421,0
1257586,6.043476571895621,-2.345106383880734,0.027999356916539167,4,3,0,87,0.5,0
1257587,6.043603741173889,-2.3462813764908725,0.027969786257732165,4,3,0,87,0.5,0
1257588,6.041084235870419,-2.3506796146810665,0.02835379235341711,4,3,0,87,0.6499999761581421,0
1257907,6.043177071082963,-2.346979278224574,0.02822240196126117,4,3,0,87,0.5,0
1257908,6.043113662617346,-2.3480008496622125,0.028143305204449402,4,3,0,87,0.5,0
1257909,6.042711391975184,-2.349574946058993,0.027979827364510372,4,3,0,87,0.6499999761581421,0
1258245,6.044001424304334,-2.3451357368882015,0.02768436569073284,4,3,0,87,0.5,0
1258246,6.0435666385645,-2.345029629996281,0.027941598448728712,4,3,0,87,0.5,0
1258247,6.044232787967501,-2.3457359773730446,0.02757554256376421,4,3,0,87,0.5,0
1258248,6.043000814729292,-2.3488340004715953,0.02802689364324048,4,3,0,87,0.6499999761581421,0
1258249,6.043326798738407,-2.349060630969956,0.027811425918853883,4,3,0,87,0.6499999761581421,0
1258250,6.042635098341864,-2.349966938966003,0.027897409154506357,4,3,0,87,0.6499999761581421,0
1258251,6.041820169820303,-2.350570942540679,0.02812036205007995,4,3,0,87,0.6499999761581421,0
1258587,6.043940066918472,-2.346660713174666,0.027779978789512286,4,3,0,87,0.5,0
1258588,6.043384571984901,-2.3482636756441577,0.02795641188376833,4,3,0,87,0.6499999761581421,0
1258589,6.042998230462137,-2.349880158487374,0.02773999125142635,4,3,0,87,0.6499999761581421,0
1258590,6.04218474983021,-2.350975802041228,0.027797684611006596,4,3,0,87,0.6499999761581421,0
1258877,6.044931545805136,-2.3446176083836723,0.027086578850576054,4,3,0,87,0.5,0
1258878,6.044894157351299,-2.3457555395461815,0.027176496233536997,4,3,0,87,0.5,0
1259195,6.0450227476848255,-2.3442556231710845,0.027006614334072344,4,3,0,87,0.5,0
1259510,6.045302407392635,-2.345021852641703,0.02687581198708347,4,3,0,87,0.5,0
1259511,6.045021492302677,-2.3468684230386994,0.02710985498453685,4,3,0,87,0.5,0
1259512,6.044203162815537,-2.347697959468305,0.02756699139115923,4,3,0,87,0.5,0
1259878,6.045355736632992,-2.3460298914642395,0.02689520128805005,4,3,0,87,0.5,0
1259879,6.044102650573818,-2.34893985890891,0.027449083682491673,4,3,0,87,0.6499999761581421,0
1259880,6.0438455119083985,-2.349659857234082,0.027408633065035375,4,3,0,87,0.6499999761581421,0
1259881,6.042983519390102,-2.350662066441067,0.027490104026132695,4,3,0,87,0.6499999761581421,0
1260188,6.045977403972988,-2.344839977069451,0.026416368584671245,4,3,0,87,0.5,0
1260189,6.045504716426022,-2.346964096197327,0.02680889551579297,4,3,0,87,0.5,0
1260190,6.0448048723794825,-2.3477090270328733,0.02720649347960146,4,3,0,87,0.5,0
1260522,6.046364128177299,-2.345814108639053,0.026239975016244928,4,3,0,87,0.5,0
1260523,6.0450837282227,-2.348421466534708,0.026989835108874073,4,3,0,87,0.6499999761581421,0
1260856,6.043885156783309,-2.350728077837507,0.0270573477055197,4,3,0,87,0.6499999761581421,0
1261169,6.046587106681078,-2.3437537552950936,0.025964973166256837,4,3,0,87,0.5,0
1261171,6.046691936924034,-2.3455602904967234,0.02601964336868523,4,3,0,87,0.5,0
1261172,6.046350083297835,-2.346770100302122,0.026288082501592085,4,3,0,87,0.5,0
1261173,6.045599074261762,-2.347818865731109,0.02672570980460385,4,3,0,87,0.5,0
1261503,6.046809543830474,-2.346349200971197,0.02599838019334557,4,3,0,87,0.5,0
1261504,6.045270601655879,-2.3487261625583513,0.026856479801670094,4,3,0,87,0.6499999761581421,0
1261505,6.045047905496412,-2.3496856203445255,0.026830408564385323,4,3,0,87,0.6499999761581421,0
1261506,6.04435480037858,-2.3509640199429755,0.026758196944577983,4,3,0,87,0.6499999761581421,0
1261822,6.046231261844168,-2.347889317120168,0.026354376127483155,4,3,0,87,0.5,0
1262175,6.04432789133223,-2.3517332050259583,0.026401332375637833,4,3,0,87,0.6499999761581421,0
1262487,6.046195541788539,-2.3486917203119226,0.0263432205089882,4,3,0,87,0.6499999761581421,0
1262488,6.045048635858145,-2.3506435987376726,0.02657012925461367,4,3,0,87,0.6499999761581421,0
1262788,6.045227280471349,-2.351315297124758,0.026225929607456788,4,3,0,87,0.6499999761581421,0
1262789,6.044441403079431,-2.352676206774953,0.025693727145202974,4,3,0,87,0.6499999761581421,0
1263122,6.046273859667237,-2.349737025965185,0.026188532746853725,4,3,0,87,0.6499999761581421,0
1263123,6.045356617500577,-2.352085884525434,0.025800119214866038,4,3,0,87,0.6499999761581421,0
1263471,6.045987492531945,-2.350722994492542,0.026109120395981615,4,3,0,87,0.6499999761581421,0
1263781,6.046641607300317,-2.3501336433922306,0.02594447323323059,4,3,0,87,0.6499999761581421,0
1263782,6.045066992905286,-2.35293590349834,0.025293651422352098,4,3,0,87,0.6499999761581421,0
1263783,6.044253820285336,-2.353654192564636,0.02462166570284874,4,3,0,87,0.6499999761581421,0
1264087,6.046347140850085,-2.3509200915364765,0.025889213847991324,4,3,0,87,0.6499999761581421,0
1264088,6.044119278553724,-2.35397369702685,0.02339143851704801,4,3,0,87,0.5,0
1264417,6.046146769725387,-2.3517447309620714,0.025677922355681358,4,3,0,87,0.6499999761581421,0
1264734,6.046139099760476,-2.3526994685641185,0.025129844628330573,4,3,0,87,0.6499999761581421,0
1264735,6.045230388592207,-2.3538020711138583,0.0242391985475318,4,3,0,87,0.6499999761581421,0
1264736,6.045294928768497,-2.354058986324459,0.02345834054901326,4,3,0,87,0.5,0
